5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90162,9162,The Eastern Contra Costa Transit Authority,Active,Full Reporter,137,Antioch CA,MB,PT,2230879,1106776,2278023,2422874,2495974,2505444,2760526,2469194,2314303,2442561,2585911,2755080,2850629,2710210,2445156,2269850,2064554,1691689,951775,811176,488460
50001,5001,City of Appleton,Active,Full Reporter,165,Appleton WI,DR,PT,112888,101478,119800,125920,126002,139951,165288,160315,157061,147663,144362,148094,156573,156892,155685,157412,156906,150286,84387,114336,52939
50001,5001,City of Appleton,Active,Full Reporter,165,Appleton WI,MB,DO,970079,881529,937410,928884,936696,958359,1001326,909109,956265,1073655,1095650,1093202,1081882,1055622,1006034,961596,977635,939541,544717,541320,354309
50001,5001,City of Appleton,Active,Full Reporter,165,Appleton WI,MB,PT,75900,70820,71120,75600,72576,82785,59529,57439,45531,41755,35162,32798,32827,37366,30047,27826,24985,22437,11090,2710,2112
40005,4005,City of Asheville,Inactive,Full Reporter,133,Asheville NC,DR,DO,0,0,0,0,0,0,0,26423,0,0,0,0,0,0,0,0,0,0,0,0,0
40005,4005,City of Asheville,Inactive,Full Reporter,133,Asheville NC,DR,PT,21417,21515,23137,24407,24682,24006,26997,0,24590,25900,25284,13308,0,0,0,0,0,0,0,0,0
40005,4005,City of Asheville,Inactive,Full Reporter,133,Asheville NC,MB,DO,1011489,1029523,1062093,1104657,1362458,1418678,1611653,1596360,1485876,1478041,1467421,1429951,1443115,1804188,2147568,2043733,943692,0,0,0,0
40005,4005,City of Asheville,Active,Full Reporter,133,Asheville NC,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007124,1796713,1338505,1500630,767773
40224,4224,Buncombe County,Active,Full Reporter,133,Asheville NC,DR,PT,0,0,0,0,0,0,0,0,0,0,0,68634,135834,133693,129246,110483,111752,121495,71041,81201,39865
40224,4224,Buncombe County,Active,Full Reporter,133,Asheville NC,MB,PT,0,0,0,0,0,0,0,0,0,0,0,16557,26701,27794,26117,23298,24570,33900,23274,20230,10436
40047,4047,Athens-Clarke County Unified Government,Active,Full Reporter,249,Athens-Clarke County GA,DR,DO,0,10789,2273,0,8550,8861,8431,8628,9670,9587,8328,7668,6998,6660,6919,7345,7425,6719,3917,4032,1934
40047,4047,Athens-Clarke County Unified Government,Active,Full Reporter,249,Athens-Clarke County GA,MB,DO,0,1173604,353513,0,1450124,1557603,1752840,1806567,1819486,1784169,1766235,1687812,1585700,1549227,1507829,1558449,1419377,1309386,929100,836007,569392
40180,4180,University of Georgia,Active,Full Reporter,249,Athens-Clarke County GA,DR,DO,0,0,0,0,0,0,0,9357,9801,10623,10570,13134,13131,12976,14096,11665,8366,11642,2896,3481,0
40180,4180,University of Georgia,Active,Full Reporter,249,Athens-Clarke County GA,MB,DO,0,0,0,0,0,0,0,9354863,9312184,9819416,11190104,11095058,11059609,10562469,5855160,5709214,5875868,5749578,1780286,1940801,0
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Inactive,Full Reporter,9,Atlanta GA,DR,DO,234049,286114,314665,357024,370524,382100,448633,496614,523542,564343,576763,585448,596148,649089,257242,0,0,0,0,0,0
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter,9,Atlanta GA,DR,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416091,696218,757660,824575,477295,471716,330771
