table with row headers in column A and column headers in rows 3 through 4,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021",,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),
180,"Naperville, Illinois","149,427","149,279","149,104"
181,"Pasadena, Texas","151,955","151,347","148,626"
182,"Pomona, California","151,554","151,128","148,338"
183,"Bridgeport, Connecticut","148,692","148,271","148,333"
184,"Denton, Texas","141,123","142,302","148,146"
185,"Rockford, Illinois","149,009","148,719","147,711"
186,"Mesquite, Texas","150,308","149,680","147,691"
187,"Savannah, Georgia","148,095","147,701","147,088"
188,"Syracuse, New York","147,363","147,033","146,103"
189,"McAllen, Texas","142,242","142,347","143,920"
190,"Torrance, California","147,323","146,769","143,600"
191,"Olathe, Kansas","141,238","141,400","143,014"
192,"Visalia, California","141,561","141,828","142,978"
193,"Thornton, Colorado","141,935","142,166","142,610"
194,"Fullerton, California","143,367","143,173","141,874"
195,"Gainesville, Florida","139,835","139,929","140,398"
196,"Waco, Texas","137,948","138,289","139,594"
197,"West Valley, Utah","140,571","140,209","139,110"
198,"Warren, Michigan","139,407","139,129","138,130"
199,"Hampton, Virginia","137,148","137,131","137,746"
200,"Dayton, Ohio","138,310","138,060","137,571"
201,"Columbia, South Carolina","137,300","137,314","137,541"
202,"Orange, California","138,992","138,680","137,264"
203,"Cedar Rapids, Iowa","137,664","137,581","136,467"
204,"Stamford, Connecticut","135,445","135,685","136,309"
205,"Victorville, California","134,550","134,742","135,950"
206,"Pasadena, California","138,679","138,196","135,732"
207,"Elizabeth, New Jersey","137,316","136,848","135,407"
208,"New Haven, Connecticut","133,924","133,966","135,081"
209,"Miramar, Florida","134,676","134,373","135,077"
210,"Kent, Washington","136,750","136,628","134,835"
211,"Sterling Heights, Michigan","134,348","134,151","133,269"
212,"Carrollton, Texas","133,348","133,409","133,251"
213,"Coral Springs, Florida","134,366","134,027","132,822"
214,"Midland, Texas","132,448","132,720","131,325"
215,"Norman, Oklahoma","127,224","127,321","128,097"
216,"Athens, Georgia","127,320","127,141","127,358"
217,"Santa Clara, California","127,452","127,426","127,151"
218,"Columbia, Missouri","125,691","125,852","126,853"
219,"Fargo, North Dakota","125,830","125,853","126,748"
220,"Pearland, Texas","125,944","126,086","125,990"
221,"Simi Valley, California","126,487","126,366","125,975"
222,"Meridian, Idaho","118,099","119,729","125,963"
222,"Topeka, Kansas","126,515","126,269","125,963"
224,"Allentown, Pennsylvania","126,092","125,971","125,944"
225,"Thousand Oaks, California","126,926","126,652","125,754"
226,"Abilene, Texas","124,797","124,954","125,070"
227,"Vallejo, California","126,035","125,839","124,886"
228,"Concord, California","125,389","125,176","124,074"
229,"Round Rock, Texas","119,519","120,498","123,876"
230,"Arvada, Colorado","124,539","124,478","123,436"
231,"Clovis, California","120,254","120,674","122,989"
232,"Palm Bay, Florida","119,874","120,181","122,942"
233,"Independence, Missouri","123,028","122,927","122,088"
234,"Lafayette, Louisiana","122,018","121,996","121,771"
235,"Ann Arbor, Michigan","122,830","122,531","121,536"
236,"Rochester, Minnesota","121,244","121,396","121,465"
237,"Hartford, Connecticut","121,219","120,957","120,576"
238,"College Station, Texas","118,180","118,441","120,019"
239,"Fairfield, California","119,793","119,827","119,705"
240,"Wilmington, North Carolina","115,955","116,146","117,643"
241,"North Charleston, South Carolina","115,113","115,771","117,472"
242,"Billings, Montana","117,077","117,026","117,445"
243,"West Palm Beach, Florida","117,151","117,179","117,286"
244,"Berkeley, California","119,693","119,463","117,145"
245,"Cambridge, Massachusetts","117,779","117,699","117,090"
246,"Clearwater, Florida","117,227","117,046","116,674"
247,"West Jordan, Utah","117,190","117,186","116,541"
248,"Evansville, Indiana","117,298","117,258","116,486"
249,"Richardson, Texas","117,973","117,792","116,382"
250,"Broken Arrow, Oklahoma","113,730","114,024","116,330"
251,"Richmond, California","116,287","116,238","115,639"
252,"League, Texas","114,426","114,686","115,595"
253,"Manchester, New Hampshire","115,555","115,354","115,462"
254,"Lakeland, Florida","111,881","112,558","115,425"
255,"Carlsbad, California","114,972","115,073","115,302"
256,"Antioch, California","115,360","115,252","114,794"
257,"Westminster, Colorado","116,375","116,304","114,561"
258,"High Point, North Carolina","113,887","113,892","114,086"
259,"Provo, Utah","114,189","114,048","114,084"
260,"Lowell, Massachusetts","115,441","115,264","113,994"
261,"Elgin, Illinois","114,809","114,621","113,911"
262,"Waterbury, Connecticut","114,446","114,159","113,811"
263,"Springfield, Illinois","114,461","114,245","113,394"
264,"Gresham, Oregon","114,507","114,637","113,103"
265,"Murrieta, California","111,050","111,351","112,991"
266,"Lewisville, Texas","111,676","112,336","112,944"
267,"Las Cruces, New Mexico","111,507","111,738","112,914"
268,"Lansing, Michigan","112,954","112,796","112,684"
269,"Beaumont, Texas","114,586","114,239","112,556"
270,"Odessa, Texas","114,368","114,852","112,483"
271,"Pueblo, Colorado","111,925","112,119","112,368"
272,"Peoria, Illinois","113,173","112,792","111,666"
273,"Downey, California","114,558","114,118","111,645"
274,"Pompano Beach, Florida","112,117","111,966","111,348"
275,"Miami Gardens, Florida","111,579","111,085","110,867"
276,"Temecula, California","110,130","110,086","110,846"
277,"Everett, Washington","110,723","110,930","110,812"
278,"Costa Mesa, California","111,915","111,723","110,750"
279,"San Buenaventura (Ventura), California","110,600","110,413","109,925"
280,"Sparks, Nevada","108,772","109,121","109,796"
281,"Santa Maria, California","109,903","109,904","109,711"
282,"Sugar Land, Texas","111,046","110,775","109,373"
283,"Greeley, Colorado","108,935","109,388","109,323"
284,"South Fulton, Georgia","107,524","107,623","108,575"
285,"Dearborn, Michigan","109,910","109,657","108,420"
286,"Concord, North Carolina","105,186","105,769","107,697"
287,"Tyler, Texas","105,735","105,976","107,192"
288,"Sandy Springs, Georgia","108,134","108,172","107,180"
289,"West Covina, California","109,772","109,345","107,017"
290,"Green Bay, Wisconsin","107,300","107,114","107,015"
291,"Centennial, Colorado","108,353","108,095","106,966"
292,"Jurupa Valley, California","105,107","105,306","106,941"
293,"El Monte, California","109,554","109,166","106,907"
294,"Allen, Texas","104,786","105,628","106,874"
295,"Hillsboro, Oregon","106,448","106,922","106,633"
296,"Menifee, California","102,654","103,227","106,401"
297,"Nampa, Idaho","100,252","101,124","106,186"
298,"Spokane Valley, Washington","103,317","103,778","105,905"
299,"Rio Rancho, New Mexico","103,977","104,257","105,834"
300,"Brockton, Massachusetts","105,652","105,579","105,446"
301,"El Cajon, California","106,286","106,176","105,432"
302,"Burbank, California","107,563","107,320","105,401"
303,"Inglewood, California","107,961","107,534","105,181"
304,"Renton, Washington","106,966","106,763","105,179"
305,"Davie, Florida","105,719","105,553","104,882"
306,"Rialto, California","104,216","104,199","104,394"
307,"Boulder, Colorado","105,414","105,262","104,175"
308,"South Bend, Indiana","103,675","103,527","103,353"
309,"Vacaville, California","102,675","102,672","103,078"
310,"Wichita Falls, Texas","102,498","102,640","102,988"
311,"Lee's Summit, Missouri","101,160","101,600","102,781"
312,"Edinburg, Texas","99,678","100,039","102,483"
313,"Chico, California","102,849","102,177","102,338"
314,"San Mateo, California","105,674","105,308","102,200"
315,"Bend, Oregon","99,126","99,533","102,059"
316,"Goodyear, Arizona","95,003","96,534","101,733"
317,"Buckeye, Arizona","91,154","93,314","101,315"
318,"Daly, California","104,940","104,571","101,243"
319,"Fishers, Indiana","99,053","99,451","101,171"
320,"Quincy, Massachusetts","101,685","101,606","101,119"
321,"Davenport, Iowa","101,728","101,584","101,009"
322,"Hesperia, California","100,038","100,200","100,971"
323,"New Bedford, Massachusetts","101,044","100,970","100,941"
324,"Lynn, Massachusetts","101,238","101,118","100,843"
325,"Carmel, Indiana","99,777","99,892","100,777"
326,"Longmont, Colorado","100,119","100,359","100,758"
327,"Tuscaloosa, Alabama","99,706","99,960","100,618"
328,"Norwalk, California","102,910","102,532","100,373"
329,"St. George, Utah","95,284","95,927","99,958"
330,"San Angelo, Texas","100,006","100,093","99,667"
331,"Kenosha, Wisconsin","99,882","99,733","99,286"
332,"Federal Way, Washington","101,131","101,019","99,037"
333,"Roanoke, Virginia","100,011","99,875","98,865"
334,"New Braunfels, Texas","90,136","91,319","98,857"
335,"Vista, California","98,484","98,508","98,655"
336,"Albany, New York","99,345","99,133","98,617"
337,"Beaverton, Oregon","97,521","97,447","98,216"
338,"Orem, Utah","98,070","98,294","97,861"
339,"Portsmouth, Virginia","97,915","98,015","97,840"
340,"Yuma, Arizona","95,814","96,034","97,093"
341,"Yakima, Washington","96,873","96,890","96,578"
342,"Suffolk, Virginia","94,324","94,685","96,194"
343,"Sunrise, Florida","97,313","97,035","96,021"
344,"Boca Raton, Florida","96,358","96,241","95,787"
345,"Deltona, Florida","94,158","94,438","95,782"
346,"Tracy, California","93,356","93,590","95,387"
347,"Edmond, Oklahoma","94,498","94,740","95,341"
348,"Lawrence, Kansas","94,909","94,933","95,256"
349,"Fayetteville, Arkansas","93,582","94,020","95,230"
350,"Sandy, Utah","97,430","97,039","95,050"
351,"San Marcos, California","94,914","94,973","94,926"
352,"Reading, Pennsylvania","95,097","94,981","94,844"
353,"Livonia, Michigan","95,531","95,336","94,422"
354,"Conroe, Texas","89,148","90,358","94,400"
355,"Asheville, North Carolina","94,539","94,406","94,067"
356,"Erie, Pennsylvania","94,823","94,639","93,999"
357,"Fall River, Massachusetts","93,938","93,885","93,884"
358,"Palm Coast, Florida","89,310","89,748","93,833"
359,"O'Fallon, Missouri","91,390","91,643","93,644"
360,"Compton, California","95,959","95,611","93,597"
361,"Carson, California","95,367","95,074","93,535"
362,"Redding, California","93,559","93,393","93,462"
363,"Plantation, Florida","91,736","91,969","92,986"
364,"Chino, California","90,989","91,367","92,975"
365,"Hoover, Alabama","92,651","92,687","92,589"
366,"Roswell, Georgia","92,892","92,989","92,530"
367,"Mission Viejo, California","93,759","93,528","92,449"
368,"Mount Pleasant, South Carolina","90,668","90,871","92,398"
369,"Bellingham, Washington","91,231","91,570","92,289"
370,"Fort Myers, Florida","85,525","86,354","92,245"
371,"Kirkland, Washington","92,247","92,755","92,107"
372,"Norwalk, Connecticut","91,143","90,975","91,194"
373,"South Gate, California","92,971","92,634","91,154"
374,"Nashua, New Hampshire","91,405","91,221","91,124"
375,"Santa Monica, California","93,028","92,711","91,105"
376,"Lawton, Oklahoma","90,537","90,517","91,055"
377,"Avondale, Arizona","89,490","89,670","90,564"
378,"Trenton, New Jersey","90,857","90,662","90,457"
379,"Hemet, California","89,855","89,830","90,436"
380,"Indio, California","89,127","89,243","90,416"
381,"Westminster, California","91,089","90,906","90,195"
382,"Fort Smith, Arkansas","89,177","89,141","89,576"
383,"Clifton, New Jersey","90,222","90,031","89,367"
384,"Merced, California","86,141","86,515","89,308"
385,"Bloomington, Minnesota","90,012","89,854","89,298"
386,"Champaign, Illinois","88,421","88,418","89,114"
387,"San Leandro, California","91,675","91,338","88,868"
388,"Greenville, North Carolina","87,882","88,098","88,728"
389,"Waukegan, Illinois","89,361","89,158","88,614"
390,"Lawrence, Massachusetts","89,152","89,024","88,508"
391,"Santa Barbara, California","88,730","88,695","88,255"
392,"Santa Fe, New Mexico","87,497","87,684","88,193"
393,"Springdale, Arkansas","87,441","87,390","87,609"
394,"Newton, Massachusetts","88,787","88,624","87,453"
395,"Citrus Heights, California","88,018","87,911","87,402"
396,"San Ramon, California","86,426","86,669","86,947"
397,"Bryan, Texas","85,461","85,810","86,866"
398,"Troy, Michigan","87,316","87,125","86,836"
399,"Livermore, California","88,614","88,487","86,803"
400,"Ogden, Utah","86,830","86,726","86,798"
401,"Danbury, Connecticut","86,550","86,356","86,759"
402,"Duluth, Minnesota","86,645","86,601","86,372"
403,"Medford, Oregon","85,828","85,861","86,367"
404,"Deerfield Beach, Florida","86,873","86,716","86,339"
405,"Mission, Texas","85,868","85,870","86,223"
406,"Hawthorne, California","88,255","87,938","86,091"
407,"Manteca, California","83,678","83,948","85,792"
408,"Lake Forest, California","86,070","86,005","85,742"
409,"Auburn, Washington","87,351","87,143","85,699"
410,"Sioux, Iowa","85,731","85,654","85,617"
411,"Franklin, Tennessee","83,347","83,887","85,469"
412,"Temple, Texas","81,938","82,454","85,416"
413,"Whittier, California","87,383","87,045","85,311"
414,"Melbourne, Florida","84,313","84,373","85,064"
415,"Newport Beach, California","85,411","85,333","84,792"
416,"Brooklyn Park, Minnesota","86,688","86,411","84,526"
417,"Westland, Michigan","85,433","85,274","84,515"
418,"Kennewick, Washington","83,943","83,922","84,488"
419,"Farmington Hills, Michigan","83,991","83,781","83,292"
420,"Layton, Utah","81,759","81,967","83,291"
421,"Cicero, Illinois","85,180","84,864","83,161"
